timestamp,tupras
2012-10,30
2012-11,30
2012-12,27
2013-01,28
2013-02,54
2013-03,38
2013-04,41
2013-05,35
2013-06,29
2013-07,59
2013-08,48
2013-09,35
2013-10,29
2013-11,26
2013-12,27
2014-01,32
2014-02,26
2014-03,34
2014-04,28
2014-05,26
2014-06,27
2014-07,29
2014-08,24
2014-09,27
2014-10,26
2014-11,47
2014-12,59
2015-01,35
2015-02,35
2015-03,34
2015-04,33
2015-05,28
2015-06,32
2015-07,36
2015-08,42
2015-09,39
2015-10,28
2015-11,33
2015-12,29
2016-01,30
2016-02,53
2016-03,36
2016-04,39
2016-05,32
2016-06,34
2016-07,36
2016-08,41
2016-09,33
2016-10,35
2016-11,27
2016-12,26
2017-01,27
2017-02,46
2017-03,50
2017-04,35
2017-05,34
2017-06,36
2017-07,34
2017-08,42
2017-09,32
2017-10,94
2017-11,61
2017-12,52
2018-01,46
2018-02,56
2018-03,58
2018-04,52
2018-05,58
2018-06,43
2018-07,51
2018-08,73
2018-09,65
2018-10,65
2018-11,59
2018-12,40
2019-01,42
2019-02,62
2019-03,57
2019-04,56
2019-05,69
2019-06,60
2019-07,100
